feature,mean_importance,std_importance
pitch_mean,0.053472222222222275,0.014248808700474446
mfcc8_mean,0.04097222222222226,0.014632852434517708
f1_mean,0.034722222222222265,0.011197580205970217
mfcc2_mean,0.03402777777777781,0.011907241805196004
hnr,0.03020833333333337,0.014978926812585404
flatness_mean,0.026388888888888917,0.011641010148777931
mfcc1_mean,0.025000000000000043,0.01015884641550541
pitch_std,0.01805555555555558,0.009547032697824667
mfcc_delta7_mean,0.015972222222222256,0.01174412119811652
contrast3_mean,0.015625000000000056,0.012828439723549412
mfcc_delta2_12_mean,0.015625000000000045,0.008398185154477643
mfcc12_mean,0.015625000000000035,0.010093362398436546
rms_mean,0.013194444444444476,0.010276839296492177
mfcc5_mean,0.013194444444444476,0.01597222222222223
mfcc10_mean,0.012500000000000044,0.010891935514832047
mfcc7_mean,0.01111111111111115,0.010393492741038724
contrast4_std,0.011111111111111138,0.013429916392926186
mfcc_delta2_6_mean,0.010763888888888951,0.003625106426705062
f2_mean,0.009722222222222254,0.008617828920826994
mfcc_delta4_mean,0.009375000000000033,0.009703603203112598
mfcc6_mean,0.00798611111111116,0.006411869900215084
mfcc_delta2_3_mean,0.007986111111111138,0.00892705564734893
mfcc_delta2_7_mean,0.007291666666666696,0.009245504830343311
mfcc_delta2_9_mean,0.006944444444444498,0.0067686071838951355
zcr_mean,0.006597222222222287,0.009502730682919458
mfcc_delta2_13_mean,0.006250000000000045,0.004606423319938082
mfcc4_mean,0.006250000000000045,0.014383552206394427
shimmer,0.005902777777777812,0.008512257411202283
contrast1_mean,0.005902777777777812,0.010763888888888897
contrast6_std,0.005902777777777801,0.007291666666666685
contrast6_mean,0.005555555555555603,0.014829275350043481
jitter,0.005208333333333382,0.010093362398436565
mfcc_delta8_mean,0.004861111111111149,0.012048160814512139
rms_std,0.004513888888888917,0.004922724610679821
zcr_std,0.004513888888888917,0.009578551544537321
contrast2_mean,0.0034722222222222654,0.01326734248232139
mfcc_delta9_mean,0.0031250000000000444,0.01207315184077341
contrast3_std,0.0027777777777778013,0.009027777777777782
contrast1_std,0.0027777777777778013,0.006732888690856032
mfcc_delta2_10_mean,0.0024305555555556024,0.008076182881675721
contrast5_mean,0.002430555555555591,0.012619987392629345
mfcc_delta2_5_mean,0.001736111111111127,0.008680555555555561
centroid_mean,-0.0003472222222221877,0.011563073475935224
mfcc_delta2_mean,-0.0003472222222222099,0.0032756878930752225
mfcc_delta6_mean,-0.0006944444444444087,0.00788737270250039
mfcc_delta2_11_mean,-0.0010416666666666296,0.009451845547789035
contrast5_std,-0.0010416666666666408,0.006953119581423891
bandwidth_std,-0.0013888888888888395,0.01020620726159658
rolloff_std,-0.0013888888888888618,0.009597413167420313
mfcc_delta5_mean,-0.001388888888888873,0.007795119555779034
mfcc3_mean,-0.0017361111111110715,0.016742449237834998
flatness_std,-0.0017361111111110715,0.011542201485135175
mfcc_delta12_mean,-0.0017361111111110939,0.013470253292549162
rolloff_mean,-0.0017361111111110939,0.008105984395783843
pitch_range,-0.0031249999999999668,0.007022134866721078
contrast2_std,-0.0034722222222221986,0.006588078458684118
centroid_std,-0.0038194444444444196,0.008568724082814621
rms_range,-0.004166666666666619,0.013157843973261394
mfcc_delta2_4_mean,-0.00451388888888885,0.010188472743834167
f3_mean,-0.005555555555555536,0.006979080292445038
mfcc_delta3_mean,-0.0059027777777777455,0.011416168210259455
contrast4_mean,-0.006249999999999955,0.0112833866731055
mfcc_delta10_mean,-0.0062499999999999665,0.009796344430323515
mfcc9_mean,-0.0072916666666666295,0.008980914691928858
mfcc_delta2_2_mean,-0.008680555555555514,0.010897468629496662
mfcc_delta1_mean,-0.008680555555555525,0.0071581694889195245
mfcc_delta2_8_mean,-0.009722222222222198,0.010508851354459408
mfcc_delta11_mean,-0.01076388888888885,0.008980914691928832
mfcc11_mean,-0.012499999999999956,0.007795119555779016
bandwidth_mean,-0.012847222222222177,0.008076182881675671
mfcc13_mean,-0.013541666666666619,0.005694867870436343
mfcc_delta2_1_mean,-0.013541666666666629,0.010468620438667576
mfcc_delta13_mean,-0.016319444444444407,0.008927055647348914
contrast7_mean,-0.020833333333333294,0.00918663649675206
contrast7_std,-0.0225694444444444,0.010329496375446893
