@relation 'librossa_features_2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T 0.045 -N -1'

@attribute pitch_q3 numeric
@attribute pitch_median numeric
@attribute pitch_mean numeric
@attribute pitch_q1 numeric
@attribute spectral_centroid_q1 numeric
@attribute mfcc_3_mean numeric
@attribute pitch_shimmer numeric
@attribute mfcc_3_q1 numeric
@attribute spectral_flatness_q1 numeric
@attribute pitch_jitter numeric
@attribute pitch_range numeric
@attribute mfcc_1_delta_min numeric
@attribute pitch_iqr numeric
@attribute mfcc_3_q3 numeric
@attribute mfcc_2_mean numeric
@attribute spectral_flatness_median numeric
@attribute spectral_rolloff_q1 numeric
@attribute mfcc_2_q3 numeric
@attribute mfcc_3_median numeric
@attribute pitch_max numeric
@attribute spectral_centroid_mean numeric
@attribute mfcc_3_min numeric
@attribute mfcc_5_min numeric
@attribute spectral_centroid_median numeric
@attribute energy_q1 numeric
@attribute mfcc_4_min numeric
@attribute mfcc_2_iqr numeric
@attribute zcr_q1 numeric
@attribute pitch_std_dev numeric
@attribute mfcc_4_mean numeric
@attribute mfcc_2_max numeric
@attribute mfcc_4_q1 numeric
@attribute zcr_std_dev numeric
@attribute mfcc_2_median numeric
@attribute mfcc_1_delta_skewness numeric
@attribute spectral_centroid_min numeric
@attribute spectral_contrast_1_mean numeric
@attribute mfcc_2_q1 numeric
@attribute spectral_bandwidth_median numeric
@attribute mfcc_6_std_dev numeric
@attribute mfcc_3_max numeric
@attribute energy_min numeric
@attribute zcr_q3 numeric
@attribute mfcc_13_std_dev numeric
@attribute mfcc_3_jitter numeric
@attribute mfcc_2_jitter numeric
@attribute mfcc_6_delta_std_dev numeric
@attribute zcr_iqr numeric
@attribute mfcc_1_jitter numeric
@attribute zcr_range numeric
@attribute mfcc_2_delta_jitter numeric
@attribute mfcc_2_std_dev numeric
@attribute mfcc_2_delta2_std_dev numeric
@attribute mfcc_6_delta_shimmer numeric
@attribute mfcc_13_range numeric
@attribute mfcc_6_min numeric
@attribute spectral_bandwidth_q1 numeric
@attribute mfcc_6_delta2_shimmer numeric
@attribute mfcc_1_delta2_shimmer numeric
@attribute mfcc_2_delta2_max numeric
@attribute mfcc_4_q3 numeric
@attribute emotion {negative,positive,neutral}

@data
-0.485309,-0.546136,-0.552215,-0.540723,-1.621408,0.908362,-0.570339,0.694031,-1.009673,-0.356239,-0.829533,-1.064685,-0.182544,1.08049,1.398754,-0.786047,-1.685117,1.846463,0.976522,-0.90163,-1.686405,0.76021,0.558731,-1.65457,0.843419,-0.544248,2.379772,-1.510133,-0.713924,1.131087,1.481619,0.306362,-1.302287,1.700686,-1.377367,-1.124315,1.99147,0.672748,-2.084567,2.78581,0.355502,1.542495,-1.258621,-0.178524,0.682287,2.132571,2.552629,-1.060309,0.401985,-1.375437,3.051678,2.428323,2.879186,2.241722,-0.333241,-1.722561,-2.130397,2.312333,-0.325392,2.475398,1.859321,negative
-0.86403,-0.737575,-0.793435,-0.638274,-1.570756,-0.585588,-0.754051,-1.441944,-1.007115,-0.889027,-0.862432,0.382451,-1.028317,0.687319,1.620578,-0.785903,-1.751373,1.545387,-0.274371,-0.928021,-1.729251,-0.991052,1.450028,-1.433577,0.504175,-0.15551,1.698573,-1.543921,-1.017961,0.431601,1.416362,0.296751,-1.409931,1.993673,-0.082664,-1.199093,1.894216,0.838498,-1.901867,2.546187,-0.479827,1.183988,-1.200683,-1.432062,0.813128,0.553778,1.123382,-0.984495,0.30481,-1.739612,0.402551,1.270683,0.068304,1.796277,-0.994655,-2.616317,-1.696013,1.212623,0.766795,-0.182603,0.204612,negative
-0.328586,-0.171585,-0.260818,-0.158951,-2.104813,0.425727,-0.736375,-0.629098,-1.00973,-0.542078,-0.94312,-1.082956,-0.5727,1.154976,1.075901,-0.787796,-2.107723,0.8643,1.014568,-0.810258,-2.195118,-0.097562,0.699361,-1.947058,0.493907,0.912456,0.456462,-1.543921,-0.873034,0.708585,1.686906,1.38202,-1.289621,0.794846,-1.266947,-1.231728,2.012018,0.932638,-2.246749,2.162474,0.400278,1.175481,-1.217873,-0.807527,0.203168,0.180564,1.295577,-1.004369,-0.13168,-1.61108,0.39669,0.686207,0.396226,0.85931,-0.932821,-1.13208,-2.050172,0.518107,-0.562312,-0.29581,0.248175,negative
-0.522564,-0.427397,-0.502192,-0.459254,-1.413936,0.273291,-0.821751,-0.046559,-1.003928,-0.778223,-0.585071,-0.064499,-0.46317,0.557147,1.257306,-0.784804,-1.566931,1.336345,0.470501,-0.749853,-1.561056,0.146525,0.583284,-1.437545,0.488052,-1.82928,2.029207,-1.543921,-0.528256,-0.138453,0.968437,-0.24057,-1.144801,1.410052,-0.017742,-1.02436,1.674912,0.19855,-1.901099,2.193979,0.710622,0.195297,-1.172669,-0.324239,1.215268,1.517429,0.336696,-0.952109,0.618768,-1.344278,1.364616,1.642648,1.434945,1.125545,-0.341577,-1.727511,-1.79423,2.485491,-0.140105,1.221982,0.118857,negative
-0.537653,-0.519927,-0.521785,-0.502427,-1.281375,0.081402,-0.438453,-0.541583,-1.000713,-0.541227,-0.715571,0.850806,-0.411694,0.472696,0.819209,-0.78555,-1.30728,1.164334,0.567053,-0.841806,-1.267401,-0.035646,0.282208,-1.427366,-0.255042,0.411792,1.760875,-1.543921,-0.624352,0.538139,0.796815,0.594653,-0.914245,1.466076,-0.886822,-0.899427,1.665161,0.179697,-1.647957,3.392421,1.500502,0.180262,-1.178399,-0.770199,0.115966,0.207704,2.051483,-0.958733,-0.346166,-0.703564,0.313804,2.237508,0.199044,1.732532,-0.428564,-2.047886,-1.465975,1.591491,-0.83049,0.044634,0.53836,negative
-0.409775,-0.334296,-0.421167,-0.353066,-1.529318,0.413518,-0.604746,0.005991,-1.007813,-0.365032,-0.888465,0.68308,-0.378515,0.899514,1.282073,-0.785601,-1.656466,1.710257,0.937714,-0.857614,-1.516576,-0.00794,0.177484,-1.550283,0.862427,-0.484213,2.298712,-1.487607,-0.837954,0.424831,1.75843,-0.285628,-1.436311,1.511922,-0.845855,-1.183846,1.905472,0.534348,-2.081895,1.921169,0.403882,1.474451,-1.22806,0.34201,0.935084,1.532084,1.050623,-1.030867,0.888415,-1.712347,1.590319,2.025706,1.596486,1.606311,0.366979,-1.908883,-2.048248,2.81334,0.538023,0.942268,0.734401,negative
-0.314842,-0.319393,-0.280036,-0.163879,-1.767,-0.239522,-0.909088,-1.243219,-1.006811,-0.798054,-0.839669,-0.624608,-0.523649,0.862266,1.203556,-0.78619,-1.944769,1.396407,0.658966,-0.62879,-2.012168,-0.095063,0.400463,-1.579668,0.453241,-0.27575,1.696151,-1.543921,-0.746912,0.0817,1.100291,-0.387318,-1.398361,1.158375,-1.943034,-0.971804,1.81311,0.606089,-1.773336,2.455591,0.697777,0.246386,-1.179036,-0.668361,-0.234999,-0.416598,1.726674,-0.959469,-0.539013,-1.774666,-0.405564,1.131468,-0.657045,2.191151,-0.411201,-1.192796,-1.756389,1.441879,-1.286146,-0.404872,-0.22302,negative
-0.122969,0.030258,0.071883,0.030674,-1.710084,0.768878,0.769479,0.721141,-1.004001,0.669339,1.310207,1.404137,-0.40979,0.629385,0.380229,-0.784533,-1.720931,0.974199,0.847499,1.355991,-1.269684,-0.195556,-0.267681,-1.563119,-0.266242,0.110498,1.705775,-1.543921,0.78307,-0.0639,0.51918,0.037438,-0.280878,0.302423,-0.577214,-0.864598,1.449397,-0.068048,-1.514531,1.812219,0.364431,0.1666,-1.156752,-0.982686,0.302742,0.677377,0.753147,-0.933707,0.081125,0.192266,0.432954,1.879978,0.342676,0.9455,-0.325158,-1.058489,-1.363553,0.481973,0.912967,-0.095167,-0.417991,negative
-0.766655,-0.671934,-0.805253,-0.716799,-1.610534,0.803943,-0.668901,0.194583,-1.002208,-0.699287,-0.942007,0.256861,-0.586238,1.296689,1.72306,-0.786204,-1.636769,1.630614,1.35769,-1.091633,-1.5947,0.079033,0.641087,-1.586389,-0.247763,-0.31348,1.519487,-1.487607,-0.874333,0.884765,0.778898,1.298428,-1.205281,2.134719,0.292303,-0.655851,1.522435,1.141016,-1.715342,2.416084,1.03051,0.157804,-1.225514,-0.620578,1.603942,0.764257,2.278416,-1.027923,1.31778,-1.209903,0.827366,1.064408,0.668587,2.29429,-0.439489,-1.963676,-1.587957,2.056784,2.761355,1.197904,1.014732,negative
-0.410816,-0.378136,-0.457607,-0.384023,-1.41571,0.334069,-0.507028,-0.479117,-1.002845,-0.437886,-0.522306,0.466177,-0.314306,1.091798,1.586878,-0.785248,-1.543652,1.622606,0.153958,-0.675384,-1.484853,-0.125816,0.622929,-1.450926,0.148247,-0.589519,1.758904,-0.856895,-0.679148,0.51773,1.143181,0.106945,-1.049475,1.986046,-0.474929,-0.898922,1.504654,0.903454,-1.620947,2.768027,1.258669,0.151352,-1.130648,0.603601,0.770173,1.167822,2.113205,-1.083127,0.668836,-0.962576,1.036157,1.570398,1.442036,1.702886,1.303792,-2.34286,-1.608534,0.77107,0.882804,1.715797,0.824027,negative
