F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion
-1.2704761,0.24522047,-1.2904927,-1.1798679,-1.2217292,0.0023737235,0.8394768,1.9794049,-0.16797888,-0.27177423,0.8769698,-1.5734949,0.6963082,1.4648685,0.54806185,0.30952895,-0.5420495,-0.7086051,-0.08295178,-0.7328739,0.66336334,-1.4350601,-0.050021358,-0.010793833,0.88299245,0.020466613,1.7682377,-1.5401129e-05,0.6567378,0.0043459334,0.13705333,-0.82291824,-0.0430177,-0.9044718,-0.80161166,-0.07566933,-0.6809741,-0.023184279,0.32891145,-0.6030085,-0.61293185,1.8677658,-0.5248971,-0.70759577,1.0530277,-0.78324187,0.007529715,0.87058043,-0.40300366,0.3709509,0.7228719,-0.3078629,-0.667692,0.9964682,0.14749071,-1.0638844,0.7841632,-0.4477954,-0.5091378,0.016817618,0.4170182,-0.4574607,-1.3396395,-0.23506686,0.5241025,0.029341808,-0.29478666,-0.116952084,-0.05117886,-0.017911643,1.0445695,0.01884231,1.876885,-0.015632927,0.861047,0.43567887,0.15819472,-0.15705815,-0.7914467,-0.0109512415,0.9371721,1.3711866,0.97446847,-0.39396763,0.35984677,-1.2498608,-1.2993225,0.7234948,negative
-0.2961409,-0.6054423,-0.22827782,-0.30523983,-0.33854136,-0.3345258,-0.5176751,-0.6047114,-0.28071332,-0.25020695,0.402877,0.29183602,-0.3081596,-0.7908056,1.093118,1.2723387,-0.57454574,-0.8608944,1.2746173,-0.20428485,1.676075,0.03987797,1.4928633,-0.08527499,0.7915252,0.020297803,0.6893737,0.0002834172,1.078433,-0.0024326046,0.3066955,-0.7942628,-0.6658035,-0.07835229,-0.113938466,0.717284,1.6692986,-0.027442306,1.1950192,-0.44999778,-0.9789696,-0.56347466,1.5659258,-0.8059524,0.052159585,-0.09645653,-0.66852784,0.06638447,1.2209525,2.084106,-0.3236161,0.3844055,0.092909,-0.06404777,1.3426617,0.46090925,-0.31938687,0.36370996,-1.2637835,0.025926486,0.77589226,-0.37620965,-0.6467146,0.10795838,-1.9684455,0.101651505,3.6171422,-1.4872417,1.1237133,-0.05147431,1.0125537,0.019852068,0.7144297,-0.012632436,0.54660106,-0.052595187,-1.6161153,1.9534253,-1.3796821,-0.46013767,-0.46662813,-0.5499271,-0.6954026,0.36052957,1.2131643,0.80591345,-0.36289302,2.287086,negative
0.6764149,-0.7614329,0.81831807,0.62339175,0.57952386,-0.53552157,-0.46187857,-0.5180565,-0.3387922,-0.23204194,-1.052518,0.91343206,-0.56349784,-0.82361263,-1.0845492,-0.9268619,-0.36293814,-0.45706722,-1.2831783,-0.7117031,-0.964765,0.82499725,-0.192319,-0.0058580865,0.05754319,0.029017983,-0.7916711,0.009705773,-0.6151198,-0.028892195,-0.5190984,-0.11449474,0.48020795,0.83022314,0.84593654,-0.32800668,0.5447289,-0.024031559,0.046674326,-0.30472258,-0.2473175,-0.03420564,1.1547327,-0.8123134,-0.94460225,0.8689725,-0.32329687,-0.17676222,0.9547313,1.0673013,-0.7394604,0.66201425,-0.6162559,0.35509115,0.45871103,-0.95559347,-0.7367025,0.64650553,0.108680524,-0.010173337,-0.18299074,0.16715758,1.1741351,-0.049078815,-0.6872068,0.09322019,-0.59408224,-0.12487817,0.18134488,-0.01834403,-0.6631125,-0.03541865,-0.55868953,0.028527388,-0.6241506,0.026711497,0.4567145,-0.63997346,1.1028656,-0.85995686,-0.7017572,-0.73022366,-0.5078006,-0.2783591,-0.19051667,0.80591345,0.54119056,-1.1585151,negative
-0.7375798,0.0050826073,-0.76159483,-0.60384643,-0.6855974,0.098294765,0.14161831,0.5961369,-0.07315622,-0.31678095,-1.1226612,-0.76574045,-0.15550156,-0.10186951,-1.3900124,-1.4066448,-1.4775666,-1.415319,-1.661138,-1.7627438,-0.5009579,-0.30272156,1.7944039,-0.06644977,1.6124752,0.018185854,1.156067,0.00067391724,0.29422295,0.18679939,-0.19665407,0.14191668,0.94012266,0.3383797,-0.062316425,-0.44670194,-0.2597856,-0.019142143,1.8600428,-0.4249892,-0.48819804,-0.096126474,1.5958681,-0.89467305,1.0234021,-0.97407556,0.26473045,0.3150282,1.1103941,0.0136672,0.5749122,-0.26672292,0.9766593,-0.3443282,0.9176931,-0.3728705,0.58515465,-0.29226145,-1.6704626,0.042194724,1.7196972,-1.2720932,-0.9915001,-0.9531867,-1.3855655,0.082870945,-0.9162071,0.38958704,1.5696614,-0.04700023,1.3180405,0.0148361055,0.7876888,-0.010171068,0.3361315,-0.004571756,-1.5973749,1.5775981,-1.4747851,-0.99369574,-0.7781129,0.30608308,0.0034018965,0.2008074,-0.46538144,-0.58568764,-0.99565816,-0.1577848,negative
-0.5724452,0.3329901,-0.7664464,-0.31412697,-0.4871209,0.6538766,0.8732484,0.58229,-0.20183036,-0.28294432,-0.26832134,-1.1423719,0.4417796,0.43656474,-0.45836118,-0.6541519,-0.7426631,-1.5915607,-0.8052143,-0.7875864,0.44067022,-0.60502523,1.6909386,-0.07275128,1.3573748,0.018495033,1.7971636,-0.0003815771,1.4574826,-0.0086945295,-0.80162174,0.36797893,-0.31854838,1.6633577,0.68624043,-0.43117487,1.1529509,-0.026438355,1.6288043,-0.6357757,-1.4996203,-0.106979705,-0.2057161,-0.8743226,0.21693991,-0.22558096,-0.5021012,-0.58569616,-0.86658674,-0.2896486,-0.24313203,0.40084618,-0.45891625,0.04250559,0.88671625,0.8351034,-0.22568165,0.3573782,-2.0099418,0.049772497,1.4008778,-1.4594752,-1.6990653,-0.13866179,-1.628531,0.08682348,0.23545048,-0.29882938,1.4392668,-0.03982716,1.2301984,0.014277766,1.595731,-0.015235011,1.4740887,0.0779075,-2.0449467,1.9569418,-1.7009885,-1.7096648,0.48732,0.43423423,0.29497898,-0.49132207,-0.7191347,-0.5637315,-0.6414906,1.7463496,negative
-0.048155263,-0.81246036,0.2272023,-0.014689174,-0.20055166,-1.1375777,-0.054658957,0.45693794,-0.47192964,-0.3044586,1.571046,-0.94459826,0.06123859,1.4185158,2.0427358,2.131745,0.2887663,0.21214706,0.031506673,-0.17831081,1.8195118,-0.799232,2.180389,-0.08432281,0.6879467,0.021041216,0.49982893,0.0019067277,0.94236654,-0.0009990283,-0.8451699,1.015161,-1.3813986,1.877071,1.4498513,-1.0277727,0.691494,-0.024711488,1.4117577,-0.32141423,-0.6697206,0.6011813,0.0933535,-0.89327705,1.8643137,-2.171391,-0.14721982,0.82250035,-0.60081285,0.42443335,1.4871088,-1.3902272,0.52668,1.7464767,-0.30387625,0.74089265,1.4216946,-1.2253813,-1.224156,0.030048346,0.7592786,-0.7426233,-0.9740659,-1.2657936,-1.260814,0.0882713,1.2309172,0.13236938,1.4466685,-0.054804612,0.52359366,0.032913562,-0.013681338,-0.00057736965,0.8639588,0.49396777,-2.1349907,2.1600196,-1.7032111,-1.0060709,-0.4500236,-0.2646477,-0.6161489,1.6212701,0.552387,-0.44077712,-0.8335269,2.4788034,positive
0.443903,-0.21225378,0.6190586,0.49456248,0.36046734,-0.6183656,0.41109493,-0.50020784,-0.5437225,-0.25431982,0.019443387,0.13765147,-0.5052332,-0.31120834,0.4765837,0.6978707,0.77119595,0.6553516,-0.060041923,-0.71693134,0.07536926,0.14114214,-0.12782149,-0.039324243,-0.67728996,-0.035425868,-1.3844787,-0.037339352,0.22170103,-0.78040314,-0.67206824,-0.9238107,0.5861298,-0.93337846,0.56939447,-0.71687007,0.26876602,-0.023207493,-0.15378,-0.17299213,-0.60281014,0.7416129,-0.32118633,-0.695324,-1.2020702,1.1217539,-0.767879,0.45976356,-1.3367022,-1.7766423,-0.6135449,0.49764428,-0.84833175,0.5316464,-0.06659219,1.9758675,-0.63052034,0.5244708,0.45439345,-0.007036358,-0.42197338,-0.45052922,1.122314,-0.045567196,0.28762653,0.025175614,0.77450603,-0.63856965,-0.4906408,-0.006551142,-0.15582833,-0.3876961,-0.9592585,-0.15339193,0.0230513,0.009509512,0.6882171,-0.5184278,0.8457629,-0.017138362,-0.040666796,-0.5967574,-0.37750053,-0.3493468,-0.42879888,0.55289495,0.99560845,-0.010885566,positive
0.53679794,-0.24647792,0.5366163,0.44870538,0.6576045,0.40824953,-0.54209745,-0.5496391,-0.9730445,0.058670126,0.026454959,0.82144016,-0.4640206,-0.9532084,0.82797086,1.0527282,0.28154898,-0.26331425,-0.25035194,-0.0007129199,-0.093359925,0.4934241,-0.33609262,-0.022804227,-0.40819386,0.06508367,-0.7963882,0.010820224,-0.23127419,-0.041965183,-0.44061217,8.337602e-05,0.042498425,-0.55544895,0.6135406,-0.54424846,0.9179727,-0.024806904,-0.32118833,-0.07033535,-0.6203928,0.7149556,1.0209144,0.25517014,-0.60718423,0.5759976,-0.8677787,0.8674967,-0.22648968,-0.9624648,-0.23641625,0.1286365,-0.5967317,0.64727086,0.50906897,-1.0849996,-0.25632766,0.16273007,0.29581794,-0.013919735,-0.19434445,-0.15253408,1.0094562,-0.046293635,0.058211595,0.073836304,0.38671535,-1.5533879,-0.25840792,-0.017789278,-0.4009986,-0.07077493,-0.25163907,0.004541136,-0.6160654,0.02732091,0.65526044,-0.62947464,0.69005513,0.7992705,-0.45908904,-0.5967574,-0.9903931,0.85034436,1.9114145,0.870318,0.8822196,0.006490291,positive
0.77868277,0.79223907,0.3085253,0.66230565,1.0320921,2.0239978,2.2587106,2.9090269,0.42109704,0.253003,-0.38920066,0.23180383,-0.2515129,-0.57842183,0.11303971,0.21635015,-0.70320266,-1.0186849,0.25667328,1.2772669,-0.08271527,0.48407203,-0.4549245,0.009746542,-0.5132073,0.2192191,-0.6250938,0.009466037,-0.27463382,-0.040989026,-0.14526422,-0.72989976,0.25010863,-0.36095023,0.3805086,0.12382282,0.92773294,-0.025164392,-0.06871993,-0.24607384,0.4630885,-1.0136501,0.35848096,-0.7440821,-0.27847454,0.32038078,0.33362257,-1.357489,0.23945549,-0.09546285,-0.1969412,0.24665503,-0.31593594,-0.14295828,0.5955968,-0.44781905,-0.21080491,0.26263806,-0.060766138,0.020292906,-0.10345328,-0.59286577,0.8119657,-0.016754195,-0.43134013,0.08838656,0.3675044,-0.1769542,-0.044117536,-0.004898757,-0.5574534,-0.04003706,-1.3100265,-0.050375946,-0.3679,0.020292588,0.48128873,-0.57104653,0.14452717,-0.15319823,-0.52704453,-0.30932364,-0.09600917,-0.24996407,-0.67335016,0.33207887,0.49725914,-0.19944997,positive
-0.6257774,-0.96643436,-0.43188715,-0.5748332,-0.74835503,-0.92798287,-0.13000013,-0.32280645,0.5295102,1.1003677,1.349027,-1.3531549,2.3234415,1.4879627,-0.10727064,-1.00997,0.44151,0.8308778,2.2909186,-0.7434637,0.9964245,-1.6844907,0.22067806,-0.01975387,0.27686483,0.025526451,0.98507744,0.0009206313,-0.13142972,-0.036309626,0.9027839,0.020117613,1.0721138,-1.9044057,-1.153553,0.23764834,-0.17708457,-0.02329818,-0.55265296,-0.062151715,-0.69312054,0.38052136,-0.4894185,-0.2737513,1.0725195,-0.6513344,-0.44359565,-0.37250555,-1.552602,0.42203277,0.99619174,-0.5995302,-1.059966,-0.45679134,-0.89729017,0.005710532,1.0930395,-0.78073746,0.49606362,-0.037318897,-0.95028305,1.0185649,-0.5819821,0.081479356,0.37224618,0.04122404,-0.19406646,0.58181053,-0.33875963,0.00020879843,0.18195829,0.0803795,1.0618733,-0.012876515,0.2779426,0.013950032,0.25522685,-0.37056533,-0.28282118,-1.2162981,1.571701,2.1550193,3.8954828,-1.1195626,-1.1561451,-1.6638908,-1.7105861,-0.38616943,negative
