@relation 'openSmile_egmaps_cleaned-weka.filters.unsupervised.attribute.Remove-R28,46,50,52-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.unsupervised.attribute.Remove-R2,4,9,48-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1-weka.filters.unsupervised.attribute.Remove-R46-54-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.0 -N -1'

@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute gender numeric
@attribute emotion {negative,positive,neutral}

@data
-0.401026,-0.463647,-0.513619,-1.316118,1.439231,-1.544293,1.187153,0.909652,0.038638,0.11826,-0.106694,-1.213928,-0.978984,-0.50955,1.356884,-0.471061,-1.465504,1.338856,-0.181818,-1.570169,-0.58138,-0.9453,-0.361009,0.133191,0.282951,-0.168843,0.898187,0.902966,0.878252,-0.761138,-0.599156,0.009493,-0.53517,-0.758944,-0.10005,-1.84174,-0.369164,-1.653029,-1.192298,-1.182086,0.118227,-1.240673,1.894126,0.059467,0.188245,0.835548,negative
-0.976394,-0.762861,-1.469544,-1.387262,0.282858,-0.448105,0.23662,-0.309425,-1.169783,-0.479639,-0.136046,-1.493493,-1.01851,0.344885,1.527904,-1.803193,-1.737458,-0.603819,1.376097,-1.174602,-0.581107,-0.189802,0.396039,0.277334,1.009926,1.277852,1.190008,1.043552,1.147378,-0.165955,-1.277867,-0.071969,-1.168812,0.495153,0.557854,-2.048387,-0.455154,-1.715208,-0.799105,-1.189558,0.484607,-0.351018,1.942516,-0.260533,-0.727246,0.835548,negative
-0.247731,-0.029076,-0.252192,-0.990844,1.051586,-1.040123,0.668953,-1.124114,-0.606944,-0.460681,-0.141804,-0.989371,-1.372931,0.42906,0.731321,-0.129203,-0.86695,-0.814667,0.856851,-1.667869,-1.045172,0.875766,0.69453,-0.533571,2.697486,0.77676,0.329829,-0.468893,0.326498,0.192226,-0.283684,-0.096526,-0.295507,-1.091005,-0.936658,-2.404735,0.057447,-1.772238,0.191538,-1.004321,-0.595685,-0.258216,2.392187,0.896452,-0.628666,0.835548,negative
-0.427322,-0.362288,-0.488502,-0.99344,1.473807,-1.029419,0.964678,-0.2539,-0.122009,-0.306589,-0.330971,-0.511622,-1.366762,-0.509621,1.210182,-0.814872,-1.314914,0.235284,1.213194,-1.567626,-0.147207,-0.437265,0.522571,0.447926,0.138754,1.111516,0.797869,0.413592,0.753438,0.829214,-0.638813,-0.104629,-0.554962,0.238255,0.328893,-1.810763,-0.081143,-1.309348,-0.268962,-1.3708,-0.017825,0.03974,1.783993,0.163958,0.258014,0.835548,negative
-0.365615,-0.219461,-0.349212,-0.879937,1.626723,-1.165796,1.107449,-0.162976,-0.503501,1.068524,-0.195727,-1.085624,-1.287789,-0.609248,0.556899,0.073103,-0.599198,-0.565915,0.579945,-1.605611,-0.132882,-0.221632,-0.132693,0.23121,0.179676,0.555012,0.19544,0.795537,0.118747,-0.762023,-0.09279,0.014699,0.041543,0.360018,-0.588284,-1.717649,0.385127,-1.481274,-0.900484,-1.331341,0.670149,-1.534761,1.665451,0.020708,0.024021,0.835548,negative
-0.074576,0.154812,0.991463,0.241598,2.192871,-1.611494,1.715536,-0.152114,-0.797951,1.467094,-0.358018,-0.173308,-0.423928,-0.647658,0.787365,1.59529,-0.816847,-0.361264,1.065398,-1.681536,-0.421333,0.780185,0.375097,0.291484,0.646991,0.889527,0.457415,0.659941,0.389852,0.116684,-0.299122,-0.328569,-0.176497,0.725613,0.085079,-1.473402,0.09163,-1.142992,-0.079685,-1.239588,0.107801,-0.782462,1.43593,0.780351,-0.767086,0.835548,negative
-0.777534,-0.657501,-0.964908,-1.282626,1.102126,-1.221486,1.062211,-0.097453,0.021751,-0.432522,-0.238279,-1.039912,-0.611125,-0.438795,1.291571,-0.841388,-1.295097,0.010621,-0.317095,-1.20925,-0.500799,-0.389928,0.695252,0.356131,0.84726,-0.413279,0.924058,0.125483,0.855211,-0.333532,-0.74761,-0.308244,-0.612469,0.714644,0.61619,-1.704605,-0.498669,-1.267454,-0.07727,-1.652629,0.755955,-0.841032,1.665882,-0.171263,-0.678977,0.835548,negative
-0.36412,-0.281843,-0.161864,-0.882521,1.657341,-1.23003,1.041908,-0.283487,-0.240867,-0.441262,-0.257793,-0.498704,-0.154632,-0.449892,1.896325,0.211189,-2.255618,-0.238572,1.320925,-1.817154,-0.327435,-0.531537,0.074036,0.733823,0.685852,1.15898,1.477126,1.156381,1.370721,0.196965,-1.322138,-0.253991,-1.060363,1.726434,0.932588,-1.487561,-0.272331,-1.321209,-0.912938,-1.205774,0.91371,0.008033,1.469305,0.267083,0.45,0.835548,negative
-0.589221,-0.820254,-0.855667,-1.369263,0.935636,-1.446219,1.025733,-0.323354,0.866656,-0.43406,-0.322887,-1.406201,0.078029,-0.563675,1.801421,-1.290904,-2.1098,0.672302,0.214361,-1.330148,-0.504196,-0.406614,-0.596515,1.710627,-0.030762,0.219533,1.344629,0.218453,1.320982,-1.065611,-1.212413,0.044765,-1.161559,-0.113463,-1.138752,-2.409267,0.81303,-1.893799,-0.717688,-0.891054,1.327073,-1.308912,2.4497,0.276912,0.274964,0.835548,negative
-0.335225,-0.229429,-0.740652,-1.206473,1.354652,-1.405038,1.179149,2.168671,0.037966,1.445328,-0.082618,-1.044588,-0.028627,-0.656638,0.856383,-0.507416,-0.941537,1.544118,-0.030154,-1.860712,-0.508125,-0.479482,0.075114,1.691094,-0.063316,-0.052997,0.513048,0.574643,0.464383,0.493601,-0.360996,-0.066754,-0.271985,-0.283211,-0.478068,-1.709962,1.651614,-1.478594,-0.7539,-1.407132,1.900259,0.00056,1.650185,0.252294,0.261531,0.835548,negative
-0.401988,-0.378799,0.059164,-0.591269,1.714208,-1.403756,1.122638,0.161158,0.187215,-0.200107,-0.303615,-1.240314,-0.678787,-0.436727,1.588613,0.712691,-1.739321,0.968984,0.285263,-1.620308,-0.675986,0.465358,0.432108,0.815622,0.262232,0.243817,1.15828,0.933694,1.06484,0.037664,-0.927254,-0.072544,-0.704427,0.419397,0.413738,-1.728455,0.234457,-1.487876,-0.982958,-1.06543,0.861563,-0.10711,1.742421,0.359589,0.424792,0.835548,negative
-0.24926,-0.36547,-0.308403,-0.848619,1.14692,-0.996211,0.771205,-0.305402,0.49223,-0.434663,-0.134057,-0.745988,-0.54039,-0.360866,1.459574,-0.436587,-1.593135,1.536984,0.636571,-1.291091,-0.518529,-0.403115,0.584501,2.512382,0.210122,0.54416,1.158343,0.866193,1.110994,0.277605,-1.026348,-0.161677,-0.905014,0.354,-0.079955,-1.252379,-0.464453,-1.223073,-0.703524,-1.037447,2.165551,-0.516053,1.200743,0.238478,-0.046796,0.835548,negative
-0.439727,-0.449819,-0.400005,-0.968974,1.257637,-1.093842,0.883132,-0.193152,0.275584,0.105366,-0.225045,-0.779357,-0.325277,-0.273737,1.728405,-0.169032,-1.86465,-0.085312,0.381629,-1.124557,-0.417246,0.434169,1.007045,0.211642,0.927777,0.297051,1.355398,0.880461,1.298553,-1.095155,-1.21126,-0.176689,-1.08001,-0.138468,-0.939181,-1.586207,0.870691,-1.093116,-0.795569,-1.542822,0.212181,-0.978144,1.468488,0.573806,0.355191,0.835548,negative
-0.56916,-0.417835,-0.416868,-1.316428,2.170572,-2.173859,1.724636,-0.375453,-0.349946,-0.579999,-0.505368,-1.578254,-0.653947,-1.502783,1.075989,-0.205453,-1.146355,-0.400804,-0.652901,-1.661593,-0.794144,0.809777,0.015277,0.945981,1.586175,-0.499568,0.471288,0.824953,0.465656,-1.486199,-0.142084,0.32589,-0.135049,-1.333403,-0.958822,-1.892968,2.209382,-1.674577,-1.405731,-1.50724,0.533615,-1.036023,1.887524,0.85627,0.179647,0.835548,negative
-0.732348,-0.509879,-1.404432,-1.336979,1.168379,-1.372559,1.371755,-0.407532,-0.533964,0.634174,-0.463126,-1.816135,-1.125518,-0.672452,1.352791,-1.304675,-1.506439,-0.444227,1.195245,-1.440067,-0.826364,-0.606642,0.048836,-0.516809,0.587155,1.294617,0.954585,1.019567,0.866196,-0.376727,-0.874152,0.442424,-0.678467,-0.683344,-0.2525,-2.09075,2.628731,-1.736025,-1.128226,-1.749766,-0.583517,-0.547498,2.044715,0.480061,0.206155,0.835548,negative
-0.492172,-0.410063,-0.638921,-1.329891,1.440946,-1.499536,1.154387,-0.138953,0.35007,0.12315,-0.204357,-1.540451,-0.957274,-0.283731,0.661562,-0.409312,-0.727532,0.078751,-0.527682,-1.84141,-0.932513,-0.218534,0.532851,-0.675787,0.805871,-0.487927,0.200285,-0.542673,0.170975,-0.746114,-0.093157,0.033288,-0.044037,-1.779908,-1.17332,-2.466415,0.548396,-1.811812,-0.254374,-1.131954,-0.576749,-0.714925,2.428659,0.713029,-1.212874,0.835548,negative
-0.487121,-0.314127,-0.502101,-1.49962,1.628804,-2.009942,1.400878,-0.20183,0.653877,-0.801622,-0.635776,-1.699065,-0.874323,-1.459475,0.21694,-0.458916,-0.225581,0.33299,-0.654152,-1.628531,-0.431175,1.152951,-0.205716,0.873248,1.663358,-0.458361,-0.243132,0.436565,-0.225682,-0.805214,0.400846,0.44178,0.357378,-0.742663,-1.591561,-2.044947,0.367979,-1.700988,-1.142372,-1.709665,0.58229,-0.787586,1.956942,0.68624,-0.10698,0.835548,negative
-0.534557,-0.53098,0.044432,-0.531517,2.359489,-2.402334,2.403732,-0.375967,0.109862,0.127804,-0.504163,-1.663711,-1.085687,-1.236633,0.876973,0.961692,-0.843158,-0.150256,-0.15213,-2.066321,-0.519212,-0.772495,1.157363,1.232965,0.94092,-0.088659,0.390637,0.430841,0.307874,-0.559368,-0.10745,0.151776,0.03604,-0.427107,0.171399,-1.861097,0.947821,-1.521035,-0.86868,-1.604537,2.188525,1.556171,1.903158,0.652849,-0.145228,0.835548,negative
-0.83158,-0.896907,0.06803,-1.021399,1.845416,-2.18999,1.598016,-0.401619,-0.25528,-0.561429,-0.352261,-1.658651,-0.841582,-0.714896,0.332141,0.162952,-0.336094,-0.288302,-0.89451,-2.59898,-0.840885,-0.257114,0.322035,1.610916,0.940493,-0.745454,-0.135925,0.074483,-0.130553,-1.394171,0.316689,0.279679,0.276545,-1.240477,-1.306331,-2.140766,-0.922096,-1.784003,-0.555601,-1.409925,1.244646,-1.419592,2.128177,0.068577,-0.131221,0.835548,negative
-0.599624,-0.627212,-0.830186,-1.369422,2.57393,-1.953783,2.186256,-0.166012,0.72404,-0.435811,-0.632599,-1.868502,-0.724024,-1.174399,0.682806,-0.305277,-0.765642,0.368188,-0.524127,-0.898353,-0.930053,1.296105,1.174903,0.378342,1.008007,-0.414888,0.188903,-0.001317,0.112361,-0.681241,0.012828,0.223746,0.149142,-0.905385,-0.066213,-2.121397,0.764685,-1.96178,-0.552364,-1.000337,0.67638,0.409609,2.055885,0.528822,1.134976,0.835548,negative
