mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc_delta1_mean,mfcc_delta2_mean,mfcc_delta3_mean,mfcc_delta4_mean,mfcc_delta5_mean,mfcc_delta6_mean,mfcc_delta7_mean,mfcc_delta8_mean,mfcc_delta9_mean,mfcc_delta10_mean,mfcc_delta11_mean,mfcc_delta12_mean,mfcc_delta13_mean,mfcc_delta2_1_mean,mfcc_delta2_2_mean,mfcc_delta2_3_mean,mfcc_delta2_4_mean,mfcc_delta2_5_mean,mfcc_delta2_6_mean,mfcc_delta2_7_mean,mfcc_delta2_8_mean,mfcc_delta2_9_mean,mfcc_delta2_10_mean,mfcc_delta2_11_mean,mfcc_delta2_12_mean,mfcc_delta2_13_mean,pitch_mean,pitch_std,pitch_range,rms_mean,rms_std,rms_range,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,contrast1_mean,contrast2_mean,contrast3_mean,contrast4_mean,contrast5_mean,contrast6_mean,contrast7_mean,contrast1_std,contrast2_std,contrast3_std,contrast4_std,contrast5_std,contrast6_std,contrast7_std,f1_mean,f2_mean,f3_mean,jitter,shimmer,hnr,filename,label
-134.42795,114.354576,-13.819464,31.798847,0.47914848,-10.455823,-13.727076,-29.941748,-19.479649,0.11051407,-13.512268,3.1654723,-15.365469,-5.148101,3.4211164,-0.7251776,-2.2157695,0.09424563,0.64309627,0.5382947,-0.18709312,0.39464933,0.42580527,0.6935405,0.718535,0.07851036,-1.9506161,-0.03375902,-0.38632217,0.23359124,0.9117831,0.21047011,-0.13342337,-0.09159601,0.29662007,0.35065675,0.3326356,-0.23905078,0.10147405,134.8279708959836,84.29345330816685,447.18144276286745,0.1482842,0.059955917,0.24985148,0.09354248046875,0.055894756449182355,1422.5394866849665,683.613021326661,1419.3660873978513,365.99912557090147,2675.5859375,1311.8604137087727,0.015820872,0.034234717,32.28600743627942,14.572290233524,19.699222454740656,18.277128757859508,18.739951092332117,21.916414314371135,50.32282877774505,5.348820682590031,4.602748930725451,4.482924563891687,3.1191118630363026,2.2821997090804627,4.064748846590152,11.76433417765358,907.2303786171005,1983.1560894437016,2988.539993791937,0.04189490357907766,0.13782524008398225,7.490393884954897,03-01-01-01-01-01-01.wav,neutral
-155.63342,104.489876,-9.1539135,35.398403,-1.7801237,-9.343889,-14.313225,-29.996695,-15.99798,0.9265483,-12.3928385,1.0517881,-16.181673,-4.5957136,2.3556435,-0.7512146,-1.4085344,0.6261398,0.60903496,0.07556584,-0.11054986,0.47811127,0.5457914,0.8313125,0.34071854,0.007427477,-1.4842938,-0.52101564,-0.6234067,0.3210023,0.30222666,0.166713,0.07120798,-0.0026208987,0.33598104,0.34447122,0.0772732,-0.42630795,0.3276487,129.35172722040474,57.683370774501334,394.9160144132927,0.13034603,0.05609064,0.22461253,0.08940197172619048,0.04839463096580251,1483.5284612413511,719.1881306438546,1491.7779490082796,381.3497252524647,2869.7916666666665,1304.1100298633085,0.01792568,0.04258787,31.64849419475981,16.543274259906116,20.963580502208533,18.838516341550854,17.856837147559265,21.796160131418937,52.815792545311645,4.914767955274616,5.3416453749858865,5.249884902289891,3.6282935894812285,2.317893130176927,3.815733135698762,11.739044928379293,933.07007096882,1984.6611120356552,3019.766314795841,0.031192237710651858,0.17200166080906712,9.24104234700034,03-01-01-01-01-02-01.wav,neutral
-156.0184,107.87068,-5.857292,28.316214,-5.3007307,-4.3805466,-17.69721,-27.712086,-21.200947,0.23963384,-12.03945,4.2053213,-15.931654,-4.3838663,1.4715147,0.8858551,-1.5947055,1.3718516,-0.27311563,0.22228773,0.60855836,0.39658326,-0.63876855,-0.18647055,0.8769539,-0.29304442,-2.983074,-0.89677525,1.2008379,0.29566917,1.6599131,0.59355414,-0.9161135,0.14048716,0.57888097,0.31859928,0.04862517,-0.42508262,0.25268725,127.33178745889145,61.99885125021548,410.3446726555906,0.12359937,0.06170527,0.25856835,0.1159423828125,0.10993036959861266,1584.832708753145,1026.2818241700654,1437.909889233828,389.6806177899131,2894.53125,1527.004038307631,0.013159685,0.022254907,31.302686505117386,16.781603745309088,21.126406909870916,19.268381452675037,17.8012320099209,21.75741777568746,50.70821385515852,4.7971700581299865,4.953734842693649,3.423704550501865,3.834642757917584,2.4818224868069483,3.443656271707472,9.551161534920602,943.2242838273312,1983.7024787562912,3050.2689114184436,0.03179711454387163,0.12747842775136634,8.468530824584308,03-01-01-01-02-01-01.wav,neutral
-167.95067,102.615906,-0.55612034,29.056,-0.87180984,-1.7269074,-20.79818,-26.50353,-18.231178,1.1347476,-10.732768,-0.78389347,-15.475898,-7.640149,1.4639584,1.2717085,-0.657559,1.4494641,0.16093232,0.32047424,1.0011674,0.77214247,-0.29829788,0.32111302,-0.2058424,0.40226838,-2.2184312,-1.8598484,0.8209314,0.5784265,1.1968948,0.7047684,-0.8412149,0.017818686,0.7569157,0.0138551695,0.25776148,-0.58573765,0.4136157,115.15790486567971,14.11382852845796,48.36546474333224,0.10837057,0.061706163,0.26606932,0.11713741987179487,0.11028449872794484,1582.6853103395713,980.7588367825498,1486.629909717456,412.5388365460944,2966.546474358974,1531.6464491179886,0.017456658,0.030109912,32.91194091325529,16.02464551833345,20.75608657502787,19.804527669286877,17.417107874288288,19.752641978730374,49.77053815936108,4.469378049190461,5.550729871836694,4.259091328908745,3.8429677804399356,2.275494572446963,3.937764737996299,10.147089866100496,936.1920269226059,1947.6231699347882,3009.16561665665,0.03767502013033565,0.1160517821249837,8.494922696945487,03-01-01-01-02-02-01.wav,neutral
-145.90636,108.10453,0.7547921,29.923216,2.7229455,-5.4764147,-14.303703,-19.719933,-20.347515,1.8830612,-12.025671,3.2382178,-13.98022,-4.9061055,2.81812,0.6777039,-2.3572748,-0.37978062,0.9509452,0.54768527,0.5330721,-0.056844246,0.21696608,0.65447193,0.5519776,0.1955324,-1.9265468,-1.6122576,0.81417465,-0.010648311,0.20579584,0.6253547,-0.23161007,0.34090585,0.2680257,0.44678393,0.3731765,-0.1571712,0.21344465,125.98787353001018,50.19159744025578,360.3944878665771,0.1517872,0.08500007,0.35012445,0.10987367021276596,0.0897329313233473,1535.5106549857376,986.4644524069155,1482.3339696801008,444.27124488031103,2814.660904255319,1650.7513461368794,0.022387682,0.043628644,30.65712716037053,15.047329138029,21.302722432281435,18.137755818139492,18.860875243137205,20.56369867246525,50.8561636093064,6.026643311467817,5.23839554319996,5.235206022700431,3.929320005681728,2.9665310432947254,3.320984677548011,11.637381876975393,919.9568535674905,1963.3479939834674,3013.859569153077,0.03608079608693188,0.13257044477814522,8.064809824908771,03-01-02-01-01-01-01.wav,calm
-175.30057,118.96541,-2.875773,25.608877,6.3401437,-6.3430185,-15.365435,-16.557257,-17.34106,3.32906,-8.795076,0.629053,-12.313828,-5.483821,2.5341353,0.52274567,-1.7322444,0.5159223,0.45116046,0.7339023,0.5757447,0.52814025,0.36934006,0.55787885,0.008530507,0.119988374,-1.3536233,-1.5866163,0.5459616,-0.05736036,0.2677112,0.6307467,0.0038737701,0.40349466,0.21717419,0.49952534,0.34528878,-0.22597295,0.1890232,112.44914627499985,20.665762329323186,76.24675969835425,0.11987786,0.07295192,0.3272032,0.08574969951923077,0.05927318181577059,1368.208515125204,848.6591467058515,1415.5471960305103,481.8065034360443,2561.5985576923076,1628.577023722685,0.01644854,0.03887487,31.866789931570302,15.519700498154577,19.900626172898207,17.854226164134687,17.711066238629105,19.322469433704853,51.477243703726614,6.409352672170869,3.8164423416415945,5.590698737943059,3.9387090113449084,2.623501987557188,3.111894055723039,6.334868557839953,867.8168019669737,1906.547185727108,2939.595073830478,0.023966925380306144,0.11731894953251687,9.888072090911411,03-01-02-01-01-02-01.wav,calm
-150.5875,107.691055,-6.2404504,24.854153,-2.0817049,-0.60220814,-13.684921,-19.892128,-18.919077,1.8100804,-6.2754407,0.992802,-13.606204,-3.7725775,1.2861606,0.07540889,-0.7752544,0.9341082,-0.4285462,0.2533741,0.48978707,0.64747363,0.026523627,0.19419621,0.11525589,-0.2079062,-2.24499,-0.94001037,0.36545154,0.56135505,0.657723,0.115350515,-0.56473565,0.06718961,0.32195976,-0.011785442,0.034834858,-0.3294129,0.3145184,110.87818555109854,16.525996085643293,89.4189703810975,0.14896643,0.06979699,0.29086712,0.12655101102941177,0.13648229350843402,1597.442657643011,1137.0644759431493,1389.8241274683353,398.33917437026514,2806.5257352941176,1594.454642439811,0.011676032,0.021442102,32.479053145301826,16.58780792232785,20.64884821401155,17.850579327572405,18.79305470645241,20.632632967887155,52.40067146340421,5.7538254645312685,5.538831758036347,3.8621745459759853,3.233576478734008,2.555601033275203,3.2046800055813938,8.510208909074493,890.0720220541963,1937.2213392070269,3001.066485461794,0.022702834766312543,0.11576625221304475,9.871303485367815,03-01-02-01-02-01-01.wav,calm
-160.32706,116.44779,-7.971758,26.92041,-0.6856629,-1.4796942,-17.147484,-20.850088,-18.273272,-0.23300926,-6.5870223,1.8460311,-13.526427,-5.253763,1.2124057,0.13861954,-1.1143197,0.84535295,-0.46498227,0.5448336,0.609296,0.32226542,-0.24858408,0.361455,-0.28614601,0.10012474,-1.2172875,-1.0240005,0.18798274,0.81421024,0.901231,0.3285085,-0.58703583,-0.07886378,0.48358336,0.07159912,0.071121015,-0.3229657,0.13252048,107.13690501175495,11.87797002122507,71.30988326926496,0.13088964,0.06413034,0.25498354,0.10337320963541667,0.1148204355225294,1456.2645311852882,1021.1775910543009,1357.929004577556,428.23905398818454,2656.25,1571.7774701560345,0.010799688,0.019860113,32.62010812723218,16.815131157304265,21.418729747339984,18.172715910771434,18.99907071975426,19.73221158905405,51.00170386019801,4.124956053486884,6.505435018371752,4.194269890206855,3.284209907456861,3.074362571479749,3.2306567369152788,9.412436375523303,890.9002249520111,1909.4299443718346,2980.5470942649836,0.02406048828709186,0.11399022794195422,10.078992985877019,03-01-02-01-02-02-01.wav,calm
-148.52855,115.85018,1.3626431,27.556885,3.828945,-5.5903997,-13.431987,-11.949899,-18.232515,2.4216666,-4.10253,-1.0869272,-10.740553,-3.2756886,2.53031,-0.9106975,-1.3299837,0.8009816,0.030251248,0.064080544,0.22849213,0.5722664,0.2295415,0.16203852,0.14323299,-0.2483856,-1.9284036,-1.1207615,0.5624959,-0.06250273,-0.056215134,0.45226017,0.06811878,0.22831957,0.12891735,0.33873025,0.123148456,-0.28484043,0.28910318,108.01578401495404,38.9147382794523,295.47182033373394,0.14260563,0.06516974,0.3203735,0.08210972377232142,0.06461968483730572,1392.3213109720652,849.1683464709944,1450.0819652283149,452.0815377686914,2578.683035714286,1531.8981929296983,0.017977476,0.03918144,32.09534410856712,15.536298649425914,19.506814324949055,17.582461507709223,19.031345535214147,18.836749882363595,52.033109846898355,6.195294766292938,5.088577440574,5.8140694888432085,3.252000338245587,3.0803942640812387,3.053397046539196,9.503851262079756,851.025751249211,1884.1931162070402,2907.7846114136037,0.025729488606829616,0.10826806334630198,10.326339243241149,03-01-02-02-01-01-01.wav,calm
-162.28314,105.93702,-2.5614843,23.268139,1.3591174,-3.6406608,-15.343306,-13.768396,-16.018772,3.7334812,-5.646915,-2.1094923,-11.3504715,-2.9696562,1.4987632,-0.43481565,-1.015366,0.075197026,0.579797,0.5125346,0.15780571,0.41520345,0.3298115,0.35594377,0.25012922,0.13772911,-0.6322953,-1.225808,0.118296206,0.0032791495,0.2866068,0.44935954,-0.0014069602,0.11949216,0.17578521,0.2882315,0.1131052,-0.04281363,0.12312136,106.64057414192561,21.162144051819787,142.54812608342246,0.11922483,0.0686878,0.3299936,0.12618255615234375,0.14444507928972886,1630.878322603749,1183.6380685609122,1443.0125221973485,421.33834567835817,2824.951171875,1741.3375731420724,0.023901626,0.04257744,29.985266309670585,15.942059752375837,18.165296621662506,17.971558124176347,18.466459271063236,19.311666243971715,53.020117410461104,5.694244046132068,4.989956920466338,5.506509084031491,2.9821207929231703,2.348819758758061,2.378063367245926,8.783404548102006,906.3557288279313,1939.9520334158144,2970.833764784622,0.03439191405017203,0.11728103828342434,9.182577267803856,03-01-02-02-01-02-01.wav,calm
-132.49315,96.32683,4.3832173,15.519945,3.252633,0.50632393,-16.893564,-12.894623,-17.874058,2.3508964,-1.4915025,-0.5168691,-10.7865,-2.4887037,0.6589153,-0.35093004,-0.54947215,0.556703,-0.10404152,0.147755,0.22470692,0.14079583,0.01964203,0.009253506,0.33344597,-0.23706415,-1.0869346,-0.6168195,0.23069361,0.3828508,0.31049234,0.14198306,-0.34329462,0.023135569,0.3927806,-0.030810094,0.009963615,-0.3191632,0.11231247,115.97028270387516,42.90393028355244,372.5410129442232,0.17571034,0.06780177,0.28055885,0.14061124559859156,0.16436731018126396,1729.5546477185942,1324.7694252406313,1443.7844330895405,375.06337694712516,2825.924295774648,1847.0067690271874,0.019331574,0.03575737,32.30581545811017,18.0184305239675,20.013689455102362,18.5381424103781,19.32831944970025,18.924411656159027,52.34715252674515,7.200606595965239,6.395050826058793,4.243292053540443,3.127455913668378,2.37041415076907,2.5688481970577164,8.513732315944896,903.6131163550907,1894.2657194161834,2978.8683952264864,0.02479458130447125,0.09254368292162525,10.694202399859217,03-01-02-02-02-01-01.wav,calm
