mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc_delta1_mean,mfcc_delta2_mean,mfcc_delta3_mean,mfcc_delta4_mean,mfcc_delta5_mean,mfcc_delta6_mean,mfcc_delta7_mean,mfcc_delta8_mean,mfcc_delta9_mean,mfcc_delta10_mean,mfcc_delta11_mean,mfcc_delta12_mean,mfcc_delta13_mean,mfcc_delta2_1_mean,mfcc_delta2_2_mean,mfcc_delta2_3_mean,mfcc_delta2_4_mean,mfcc_delta2_5_mean,mfcc_delta2_6_mean,mfcc_delta2_7_mean,mfcc_delta2_8_mean,mfcc_delta2_9_mean,mfcc_delta2_10_mean,mfcc_delta2_11_mean,mfcc_delta2_12_mean,mfcc_delta2_13_mean,pitch_mean,pitch_std,pitch_range,rms_mean,rms_std,rms_range,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,contrast1_mean,contrast2_mean,contrast3_mean,contrast4_mean,contrast5_mean,contrast6_mean,contrast7_mean,contrast1_std,contrast2_std,contrast3_std,contrast4_std,contrast5_std,contrast6_std,contrast7_std,f1_mean,f2_mean,f3_mean,jitter,shimmer,hnr,filename,label
-259.2104,114.83024,14.202686,33.598713,0.9570984,-24.910496,-23.465052,2.972771,-20.194147,-5.334489,-3.79392,-3.1232078,-3.7627172,0.9213123,0.2868067,0.022139,-0.18999858,-0.15465711,-0.019631222,-0.34043866,0.025510697,-0.0039606574,0.0552982,-0.19324942,-0.080777064,0.04155947,-0.36856562,-0.13557136,0.14102826,0.1263033,0.018535467,0.35411865,0.21258382,0.15200122,0.26207745,-0.05801464,0.11935409,0.08719531,0.061089996,219.8189198809936,129.1928811238579,429.92023206498186,0.15210795,0.08619636,0.38417742,0.04232264046717172,0.039249524430718274,1018.8944057038241,938.1093292082923,1075.5922346161865,565.8309855647288,1874.2897727272727,1732.4857514512425,0.0025928686,0.006557268,32.154295191268695,18.343420765711212,21.402901357037333,18.19148675949123,21.394641801037626,18.159518570711953,46.85135249778591,4.6634877099011645,6.2498052013965815,6.854777868676167,5.032064778413921,5.8944194947888064,4.393293130702335,10.811571380538226,804.7950686950732,1882.3842124548262,2954.1557390946055,0.027133010221920363,0.13457585378282066,13.36469965527228,a01.wav,angry
-267.05136,112.22705,-13.231838,22.426592,6.3442016,-18.731644,-12.01501,10.860435,-16.25269,2.6157837,-1.0252181,-4.88418,2.6778982,-0.048289955,0.091377035,0.0697126,-0.05539358,0.032431066,-0.028956575,-0.0012727936,-0.036270548,-0.1172777,-0.004998985,-0.04945951,-0.023339815,0.050488524,0.82342386,0.4230802,-0.084345765,-0.030027093,-0.031530008,0.021671379,0.03304283,0.044307314,0.052366573,0.03603114,0.063194185,0.038597845,0.005087372,223.17795483501814,136.84953609442638,379.6403480671993,0.13315377,0.08766488,0.32511735,0.034769310141509434,0.030373922422145684,890.5275673613121,703.7927481462125,1053.8032887200345,474.4312257349712,1669.8850235849056,1475.9084126568814,0.0009921597,0.0028134289,32.256053158649515,18.430773442989995,19.44274240686208,18.417255228686237,20.33078187122123,18.950636281682907,48.48033739586893,4.600066049621172,7.369170639369258,6.25077290318134,4.516712890590505,5.050354716517413,3.962514930636377,9.94896907269989,833.2803160321796,1976.9812791207978,2916.533989079809,0.021636798167839866,0.11136260434408007,12.680020819647341,a02.wav,angry
-184.91362,133.80275,-14.088039,27.560528,-6.3725166,-33.106735,-13.1025,5.009724,-24.423721,-2.5552986,-6.1655326,-8.799978,-0.6948776,-3.4172997,-3.0954397,2.4170601,2.129095,0.056383416,0.6139313,0.08918969,0.70826894,0.19488426,-0.38637525,0.36714202,0.01108004,-0.4947434,-3.3917189,-1.3316079,0.574412,-0.7659781,0.37859756,1.5965968,0.47625357,0.32540748,1.0162119,0.45593005,0.39610517,0.35485616,0.29774418,189.70432161026991,23.60723915032954,94.71907850992778,0.2372221,0.10462379,0.37424955,0.05909522804054054,0.03674984168700234,977.2409376164829,531.7860456722227,1106.3938144552465,410.28026732511296,1929.2652027027027,1002.928609154342,0.002564839,0.007847722,30.242930209595208,20.586708885013685,21.73021868317278,18.49410130522478,18.829576841617904,17.27821037647358,44.041034763485655,5.652110977640544,6.223537737120807,6.520482292174068,6.347278015340862,5.485034956213171,6.139065975367927,15.372071743461959,856.3266514047392,2126.826153530157,3104.3693683684273,0.020811106083858322,0.11453483678908685,14.91474634029436,a03.wav,angry
-180.6395,136.38512,-8.187996,13.918383,0.59296674,-34.382668,-34.267403,1.837043,-24.159237,-3.8656425,-6.337642,-7.3749266,-4.8196664,0.15765984,1.1477386,-0.8688647,-0.74214715,0.24500756,0.04625828,0.7284582,0.52867836,-0.19205488,0.037043132,0.1099615,-0.024636133,0.15737869,-3.178011,0.35462746,1.7037896,0.58933765,0.2192324,0.042989116,0.27331516,0.28832883,0.22580934,-0.3133162,-0.20691586,0.019689288,0.23067936,186.44021344292784,78.67029268969661,445.2078621370169,0.22365819,0.15501434,0.66570854,0.07515171595982142,0.04842179538540318,1124.559376807851,776.2407935204384,1143.7114918239654,475.23094110880976,2078.543526785714,1413.1298871562658,0.004157384,0.012760418,29.432175361756315,19.756688432204438,21.409751150472633,18.912109260175505,21.742215667712905,17.61136691008307,48.47308211808263,5.604620571826075,6.249292399778176,5.25952440747009,3.666262386345128,5.6573972031573865,4.490773165135589,13.001648337251087,777.3314737921608,1936.9715724379193,2940.625152362268,0.020956267643417736,0.11399401909209882,14.425767794777702,a04.wav,angry
-185.2646,142.08011,-23.208405,22.434223,7.273042,-41.45385,-25.5308,-2.1949635,-30.41433,-5.3619723,-6.4082413,-8.827157,3.0709083,-2.4693167,0.31596652,0.42259043,0.6223436,1.0024757,-1.1607838,-0.17982206,0.007972444,-0.18261528,0.7555894,0.043990005,-0.30259895,0.7243606,-3.0529401,-1.1890265,1.2237581,0.60438585,-0.10214391,0.6808831,0.15231125,0.23606296,0.5042157,-0.22654614,0.033466022,0.10037188,-0.19994627,194.8425343718177,82.41529359256283,364.56054464102306,0.2501538,0.13014506,0.56018484,0.05080788352272727,0.015900671576525728,893.9620467570973,267.2690299785215,959.7103030261159,291.77975109185684,1700.284090909091,738.5675230158168,0.0008349051,0.003049676,30.180193575075663,21.300934032950316,25.891098006318693,20.4731093259037,24.08634820294121,19.51301694692946,46.304501508890596,6.737297454549992,7.073950653684395,6.664598517618112,6.010784321268855,5.309722932648819,4.623362984333893,10.656540738416153,850.2690049215064,1907.5899513036325,2887.1564881228655,0.02473506027634946,0.08991282338640753,14.797286619842202,a05.wav,angry
-247.10701,109.99832,3.6905432,22.3795,-4.5745783,-17.20251,-23.547281,4.484802,-18.94087,0.87273985,-1.8215296,-2.798573,-2.883701,0.22249351,-1.1451433,0.0910811,0.21558754,-0.21059774,0.1919584,-0.23742928,0.299005,0.12633003,0.05047871,0.046932194,0.05512171,0.050636824,0.46494237,1.0540202,-0.273818,-0.19347206,0.13611476,-0.007843991,0.20178947,-0.06152734,-0.0085741915,-0.0054104477,0.0008033664,-0.037274826,0.004570256,263.0200599180583,131.86898722548614,369.2383621685012,0.15182844,0.10348669,0.37740463,0.03933745449029126,0.02690947187659991,1122.025681274626,960.2773827739862,1151.4664500793997,562.4838698795281,2050.0606796116504,1786.9845192349765,0.0026502728,0.005775843,31.84171496826135,17.447631133307656,18.530485394640422,17.261969331017117,19.268389522295525,18.003792186537055,47.45143509193321,4.767295769544326,6.75673851644631,6.166684079237156,4.352955697032359,5.433749757956725,4.167557100602064,9.994954376958287,855.2464138087666,1940.813730753942,2957.719179961332,0.026788019488240222,0.11201552261187189,12.472949528558605,a06.wav,angry
-146.06384,145.78766,-33.321476,11.312077,-19.402243,-35.879017,-18.83312,-0.15994167,-30.583307,10.320495,-7.9945416,-12.117615,2.622391,-1.2429017,0.13293032,0.28116918,0.3099355,-0.30830717,-0.84644586,-0.036866378,-0.14105968,-0.28299665,0.029089332,0.16869028,-0.46893218,0.09597689,-1.4585981,-0.95402217,0.70141697,0.33277464,0.13782944,0.98106986,0.42500457,-0.045717597,0.5174869,0.35265064,0.1828862,-0.1536323,0.030245915,193.4768552917308,60.9568067492063,308.3921329134748,0.3099526,0.110467,0.43109995,0.055379231770833336,0.020502685228863688,923.8603436091944,254.79154273643377,983.9011565074328,310.03772523157033,1769.3684895833333,779.7837633919238,0.00071689696,0.0011571692,29.818462670169097,24.586263688441505,23.22049582837955,19.54679221264698,20.34986557668054,19.568120701821893,47.14672480549134,5.197591717267793,4.730816197237104,5.311896111696279,4.995224060716941,4.469792926356675,4.118432264955097,10.05515520590079,751.783346279984,1899.3966183081907,2860.3222716217897,0.012351516764822885,0.09824723659690504,16.121748875044485,a07.wav,angry
-181.57143,117.421196,6.24718,15.049963,-15.801378,-29.344887,-28.548265,-1.1677845,-19.745726,-5.191992,-10.584285,-9.904131,-2.7480478,-0.4795693,-0.8103033,0.37917718,-0.053127605,0.12110939,0.08948801,-0.1503555,0.19683556,0.34162205,0.35472885,-0.19154215,-0.19539893,0.0243163,-0.1942293,0.35022125,0.8274005,-0.5316313,-0.10967757,0.34929833,-0.007697885,0.13282865,0.035517845,-0.1973453,0.037293985,0.19094364,-0.086350925,220.10966141161785,67.3349168163842,301.8296983460352,0.28814906,0.17767125,0.71572834,0.06947866586538462,0.04257200149529514,1123.2714641097948,785.1750699761112,1140.0871476241082,507.69774945067036,1984.8557692307693,1531.1058096131496,0.0052597225,0.016580658,28.616092505770617,20.237317134940074,23.481542095347752,22.509455614481,19.670673351111084,17.54623871193524,48.28473588137302,4.871502733291564,5.6348426886645955,7.5254979012300245,5.891358146029933,4.501520890996556,2.7176610791310165,9.641398938454241,810.5086298716861,1853.343380707842,2999.5258456731426,0.023836650128863997,0.09184592934084435,15.53028828293289,a08.wav,angry
-234.30826,143.17908,0.35682347,30.127754,9.529913,-29.701824,-32.289482,3.1930165,-23.51942,2.4226418,-9.055379,-11.488372,-1.0574838,-2.569615,-0.8659326,0.9197345,0.97952074,0.6104466,0.23080826,-0.18914638,-0.4237949,-0.080563,0.3775967,0.05167832,-0.17905773,0.2750617,-1.914077,0.07916888,0.8999796,-0.29571113,0.06455924,0.536142,0.30625096,0.18032716,0.1875429,-0.08435646,0.116234735,-0.0007961293,0.03203115,171.1109484283398,78.044393608165,403.0773276500106,0.15544312,0.0810307,0.3324508,0.05547204178370786,0.047748758379984296,1000.9000289173634,788.5490765295544,1048.1656844724655,474.3352997408723,1830.4073033707866,1434.2681300642041,0.0028646505,0.008665164,29.674529546325022,17.96760982079376,22.85118815050985,20.143301362362283,22.029868907570396,19.36645817058273,47.636758207223366,4.7357886979591415,5.63263768786497,6.572581055234591,5.252010750454648,4.9500405025474015,3.856687710936658,9.723919165250013,713.9453819442585,1881.4115448784817,2912.837481781383,0.027037991129273676,0.11856984410409249,13.988044125376414,a09.wav,angry
-201.74962,137.52933,-4.068658,23.126736,-8.777228,-33.667904,-32.031868,1.4434489,-27.193775,-0.66797614,-8.652088,-6.138227,-3.880325,-1.699087,-0.32329768,0.61245656,0.42221382,0.5040431,-0.04579131,0.058566526,0.2934813,-0.06848477,-0.17404215,0.19146942,0.21298593,-0.2571066,-0.117139496,-0.6674192,0.52123094,-0.027953925,-0.21181326,0.5166058,3.245583e-05,0.12541397,0.04879432,0.03823009,0.05838358,0.15347032,-0.06926059,186.87642634178664,63.9697278067862,414.16883950252657,0.22112128,0.11166381,0.44730064,0.07098162615740741,0.05651368055445303,1036.5130843214629,694.8146284209387,1024.7216357108691,449.3183761939537,1916.3773148148148,1365.75621975103,0.0043156096,0.011809224,29.645816510486387,21.581482123398413,22.944086902156535,20.145221389312763,22.024920130866708,18.637933113912172,49.341314645043816,4.367398425574174,6.7594804295641175,5.834535097575286,5.90893481980053,4.305676627820109,3.7545821564447412,7.643872523133627,713.0398018230738,1777.4623966636866,2839.439708082441,0.023921797606919332,0.10338960491016941,14.908382296862722,a10.wav,angry
